front,back
What are deny settings on a deployment stack?,Protection that blocks out-of-band changes to the stack's managed resources: denySettingsMode: 'denyWriteAndDelete' stops anyone modifying or deleting them outside the stack. (This is the tamper-protection that carried over from Azure Blueprints' locking.)
What are the main building blocks of a Bicep file?,"Parameters, variables, resources, modules, and outputs. (Parameters are inputs, variables are computed values, resources are what you deploy, modules are reusable sub-templates, outputs return values.)"
What are the three ways to deploy Bicep from Azure Pipelines?,"The Bicep Deploy task (BicepDeploy@0), the ARM template deployment task (AzureResourceManagerTemplateDeployment@3), and an Azure CLI task running az deployment. (The Bicep Deploy task is the recommended option for new pipelines.)"
What CLI command deploys a Bicep file at resource group scope?,az deployment group create --resource-group RG --template-file main.bicep --parameters main.bicepparam. (The group in the command name is the scope. Subscription scope uses az deployment sub create.)
What deployment scopes does Bicep support?,"Resource group, subscription, management group, and tenant. (You pick the scope based on what you are deploying: a storage account at resource group scope, a policy at management group scope, and so on.)"
What does actionOnUnmanageResources control in a deployment stack?,"What happens to resources removed from the template: 'delete' removes them, 'detach' leaves them in Azure but unmanaged. (Controls cleanup behavior when you take a resource out of the stack.)"
What does az bicep build do?,"Transpiles a .bicep file into an ARM JSON template. (Usually happens automatically at deploy, but you can run it manually to inspect the generated ARM.)"
What does it mean that Bicep is declarative?,"You declare the end state you want, not the step-by-step commands to get there. Azure figures out what to create, update, or leave alone. (Same declarative model as Terraform; you describe the destination, not the route.)"
What does the @secure() decorator do?,Marks a parameter (like a password or key) as sensitive so its value is not logged or shown in deployment history. (Essential for secrets passed into a template.)
What does the BicepDeploy@0 task support?,"Standard deployments at all four scopes, deployment stacks (with deny settings and actions on unmanaged resources), what-if previews, template validation, and output masking for secrets. (It is the all-in-one modern Bicep pipeline task.)"
What is a .bicepparam file?,"A dedicated parameter file written in Bicep syntax that supplies values to a Bicep template, keeping parameters separate from the template itself. (Cleaner than the old JSON parameter files; one template, many .bicepparam files for different environments.)"
What is a .bicepparam gotcha with az deployment group create?,"When you pass a .bicepparam file, you cannot also override individual parameters on the command line. (You either use the param file as-is or switch to inline parameters.)"
What is a Bicep registry?,"A place to publish and share modules, backed by an Azure Container Registry, referenced with br: (for example br/public: for the public registry). (Lets teams share versioned modules instead of copying files around.)"
What is a deployment stack in Bicep?,"An Azure resource that manages a group of resources as a single unit, with lifecycle control: update them together, and clean up resources removed from the template. (This is the successor to the deprecated Azure Blueprints; the through-line is deploy-and-manage-a-bundle.)"
What is a module in Bicep?,"A separate Bicep file you call from another to reuse infrastructure, invoked with the module keyword. (The reuse mechanism; roughly a Terraform module. It keeps templates composable instead of one giant file.)"
What is a parameter in Bicep?,"An input value you pass in at deploy time, declared with the param keyword: param location string. (Lets one template serve many environments; like a Terraform variable.)"
What is a resource declaration in Bicep?,The resource keyword defines something to deploy: resource sa 'Microsoft.Storage/storageAccounts@2023-01-01' = { ... }. (The type string includes the API version after the @.)
What is a service connection in an Azure DevOps pipeline?,"The configured link to your Azure subscription that the pipeline tasks run under, using a service principal's identity. (This is how the pipeline authenticates to Azure; ideally backed by workload identity federation so there is no stored secret.)"
What is a variable in Bicep?,"A named value computed inside the template with the var keyword, not passed in: var name = '${prefix}-app'. (For values you build from parameters or reuse; Terraform's locals are the equivalent.)"
What is an output in Bicep?,A value the template returns after deployment with the output keyword: output endpoint string = sa.properties.primaryEndpoints.blob. (Used to pass values back to a pipeline or a calling module; like a Terraform output.)
What is Bicep's preview command versus Terraform's?,"Bicep uses what-if to preview changes; Terraform uses plan. (Both show you what will change before you apply, but what-if computes against live Azure while plan computes against the state file.)"
What is Bicep?,"A domain-specific language for deploying Azure resources declaratively. You describe the desired end state and Azure makes it so. (It is Microsoft's native infrastructure-as-code for Azure, the cleaner successor to writing raw ARM JSON.)"
"What is dependsOn, and why do you usually not need it in Bicep?","It forces a deployment order between resources. Bicep infers dependencies automatically when one resource references another, so you only add dependsOn for hidden dependencies it cannot see. (Cleaner than ARM, where you often wrote dependsOn by hand.)"
"What is idempotency in Bicep, and why does it matter?",Running the same Bicep file repeatedly produces the same result; it only changes what differs from the current state. (You can re-run a deployment safely without creating duplicates. Same guarantee Terraform gives.)
What is string interpolation in Bicep?,Embedding expressions in a string with ${}: '${prefix}-storage'. (Builds names dynamically; like the same syntax in many languages.)
What is the 'pool' with vmImage in pipeline YAML?,"It selects the agent to run on, for example vmImage: 'ubuntu-latest' for a Microsoft-hosted Linux agent. (Where the pipeline steps actually execute.)"
What is the 'using' statement in a .bicepparam file?,The line at the top that ties the parameter file to its Bicep template: using './main.bicep'. It tells the param file which template's parameters it is filling in. (Required in every .bicepparam file; the pipeline tasks check for it.)
"What is the API version in a resource type, and why does it matter?",The date after the @ in the type string (for example @2023-01-01) pins which version of the resource provider schema you deploy against. (Newer API versions expose newer properties; choosing it deliberately affects what features are available.)
"What is the Bicep CLI, and how does it relate to the Azure CLI?","The Bicep CLI compiles and works with Bicep files. The Azure CLI bundles it and invokes it via az bicep; the Az PowerShell module does not bundle it, so there you install the Bicep CLI separately on the PATH."
"What is the BicepDeploy@0 task, and why is it preferred?","A first-party Azure Pipelines task purpose-built for Bicep. It deploys .bicep and .bicepparam files directly without precompiling to JSON, and auto-downloads and caches the Bicep CLI. (The modern recommended approach, replacing the older CLI-task method.)"
What is the difference between existing resources and deployed resources in Bicep?,"Adding the 'existing' keyword references a resource already in Azure without deploying or managing it: resource kv '...' existing = { name: 'myVault' }. (Use it to read properties of something you did not create, like an existing key vault.)"
What is the difference between validate and what-if?,Validate checks that the template is syntactically correct and will compile. What-if goes further and shows the actual resource changes against live Azure. (Validate catches errors; what-if shows impact.)
What is the relationship between Bicep and ARM?,"Bicep is a friendlier language that transpiles down to ARM JSON. ARM is the underlying deployment engine that actually processes the template. (You write Bicep, it compiles to ARM, Azure runs the ARM. Every Bicep deployment is really an ARM deployment underneath.)"
What is the targetScope keyword?,"It sets the scope a Bicep file deploys at: targetScope = 'subscription'. Default is resourceGroup if omitted. (Tells Azure whether you are deploying into a resource group, subscription, management group, or tenant.)"
What is the what-if operation?,"A preview that shows what a deployment would create, modify, or delete before you actually run it: az deployment group what-if. (The safety check before applying; Terraform's plan is the equivalent.)"
When would you choose Bicep over Terraform?,"When you are all-in on Azure: Bicep is native, always day-one current with new Azure features, stateless, and simpler for a compliance boundary. (Terraform wins when you need multi-cloud; Bicep wins for pure-Azure simplicity.)"
Why use a separate .bicepparam file instead of inline parameters?,"It separates configuration from code, so the same template deploys to dev, test, and prod by swapping parameter files. (Standard practice for environment-specific values.)"
