front,back
How can tag-based permissions be implemented in IAM?,"Use attribute-based access control (ABAC) by creating IAM policies that evaluate tags on the resource and the requester's identity (e.g., `aws:ResourceTag/Project`)."
How can you access an event bus from a separate AWS account?,Resource based policies
How can you achieve high availability with VGW?,Have two different on prem routers connecting to VGW.
How can you aggregate all CloudTrail logs across multiple accounts to one account?,Use a management account as a hub and member account as spokes.
How can you capture forensic data from a compromised instance?,"Take EBS snapshots, memory dumps, and log exports. Use S3 Object Lock to preserve data."
How can you configure your ALB to only accept traffic from CloudFront? (two things),1. Configure the ALB to only forward requests with a custom preshared HTTP Header. 2. Restrict access to your ALB to CloudFront Public IPs only.
How can you correlate security data across AWS services?,"Use AWS Security Hub for centralizing findings, AWS Detective for investigation, and Amazon EventBridge for event routing between services."
How can you enforce encryption in transit for connections to an RDS database?,Require SSL in RDS parameter group and use security groups to restrict non-encrypted connections.
How can you enforce least privilege access in AWS?,"Use IAM policies that grant only necessary permissions, avoid wildcard actions/resources, and periodically review permissions with IAM Access Analyzer or Access Advisor."
How can you enforce separation of duties in AWS IAM?,"Use role-based access, ensure users have permissions based on job roles, and avoid combining sensitive duties like administration and auditing in one role."
How can you enforce TLS for API calls to Amazon S3?,Use bucket policies that deny access unless the request uses `aws:SecureTransport` set to true.
How can you enhance security between CloudFront and WAF?,Create a filter for the x-origin-verify header and put a psk in the header that CF sends to AWS WAF.
How can you ensure that authorization headers work properly with CloudFront?,Using Cache policy to forward the unmodified header between CloudFront and the server.
How can you isolate workloads with VPC design?,"Use public and private subnets, separate VPCs for sensitive workloads, and restrict traffic with security groups, NACLs, and route tables."
How can you make an API gateway accessible between VPCs in the same region?,Configure a VPC interface endpoint in the source account to send traffic to API GW (destination)
How can you overcome the CloudFormation 500 resource limit?,Nested Stacks
How can you prevent unauthorized public access to S3 buckets?,"Use S3 Block Public Access, enforce bucket policies, enable Object Ownership, and audit with AWS Config or Access Analyzer."
How can you provision SSL certificates in CloudFront?,Attach a certificate from ACM to a cloudfront distribution.
How can you restrict access at the edge using AWS services?,"Apply geographic restrictions in CloudFront, use WAF rules to rate-limit or block IPs, and use security groups and ACLs with load balancers."
How can you securely connect on-premises networks to AWS?,"Use AWS Site-to-Site VPN (IPSec), AWS Direct Connect with VPN for encryption, and private/public VIFs for routing."
How do S3 Object Lock and Glacier Vault Lock enforce data retention?,They create immutable objects or vaults that prevent deletion or modification for a defined retention period.
How do you apply host-based security in EC2?,"Install host-based firewalls (e.g., iptables), perform OS hardening, use intrusion detection agents, and regularly audit logs."
How do you assign permissions to a CFM stack to allow it to perform its task?,Stack roles
How do you audit who accessed a DynamoDB table?,AWS CloudTrail logging for DynamoDB data events
How do you automatically quarantine an EC2 instance from a GuardDuty finding?,"GuardDuty + EventBridge + Lambda or Systems Manager Automation to isolate the instance (e.g., move to quarantine security group or subnet)"
How do you block certain IPs from accessing your NAT GW?,Using a NACL.
How do you check a publicly accessible S3 bucket for sensitive data exposure?,Use Amazon Macie to scan the bucket for sensitive data and identify public access exposure.
How do you enforce backup retention across multiple AWS services?,"Use AWS Backup to define centralized backup plans and retention schedules across services like EFS, EC2, RDS, DynamoDB."
How do you enforce TLS for all API access to an S3 bucket?,Use a bucket policy with aws:SecureTransport condition to deny requests that are not over HTTPS.
How do you fix access issues for logging in AWS?,"Ensure proper IAM permissions, S3 bucket policies, KMS key access, and check for service-linked roles being present and active."
How do you identify and troubleshoot authorization failures in AWS?,"Use IAM Policy Simulator, CloudTrail logs, check for missing permissions or conflicting Deny statements, and verify role/session assumptions."
How do you isolate a compromised EC2 instance?,"Use security group changes to block traffic, move instance to isolated subnet, or use Systems Manager automation to isolate and investigate."
How do you keep traffic off the public internet in AWS?,"Use VPC endpoints, NAT gateways, Transit Gateway, and deploy Lambda functions inside VPCs."
How do you make compromised IAM user credentials revocable immediately?,"Use IAM to deactivate or delete the access keys, or rotate them using IAM access key rotation. Use CloudTrail and GuardDuty to identify misuse. Prefer temporary credentials from STS over long-term credentials."
How do you prevent a Lambda function from retrieving secret credentials in plain text?,Store secrets in AWS Secrets Manager or Systems Manager Parameter Store and use environment variables with encryption enabled.
How do you restrict access to API gateway?,Resource policy
How do you search logs for security event validation?,Store logs in S3 and use Amazon Athena to run ad-hoc SQL queries on the data.
How do you troubleshoot a custom application not reporting its statistics?,"Check CloudWatch agent configuration, IAM permissions, application-level logging, and ensure data is being published to the correct namespace."
How do you troubleshoot missing or blocked network traffic?,"Check security groups, NACLs, route tables, and use VPC Flow Logs or Traffic Mirroring to inspect traffic flow."
How do you truly delete an S3 object if versioning is enabled?,Delete it by specifying the ID of the object.
How does Amazon inspector collect information about EC2 instances?,Using AWS SSM agent
How does Athena federated queries access data that is not in S3?,Data source connectors that run on AWS lambda
How does AWS Secrets Manager help with credential rotation?,"It automatically rotates secrets (like DB credentials or API keys) according to schedules, using Lambda functions and integrated support for RDS."
How does AWS Service Catalog help with governance?,It allows centralized deployment of pre-approved products (CloudFormation stacks) to enforce standards and limit user choices.
How does AWS support secure remote access to instances without opening SSH or RDP ports?,"By using AWS Systems Manager Session Manager, which allows secure shell access without exposing the instance to the public internet."
How does EC2 Instance Connect differ from SSH?,EC2 Instance Connect allows secure browser-based access to Linux instances without managing SSH keys or opening port 22.
How does EC2 Instance Connect work?,An instance connect agent is contacted by AWS and the agent copies a temporary public SSH key to ~/.ssh/authorized_keys.
How does IAM Access Analyzer help with access control?,It identifies resources that are shared with external principals and helps validate least-privilege access configurations.
How does S3 Lifecycle help manage data retention?,"It automatically transitions objects between storage classes (e.g., S3 Standard to Glacier) or deletes them based on policies."
How does SSM parameter store perform encryption?,KMS
How is the effective permission determined when an SCP and an IAM policy both apply?,The INTERSECTION: an action is allowed only if BOTH the SCP and the IAM policy allow it.
How long can it take for cloudwatch logs to become available after being exported to S3?,12 hours
How many connections can you have at once with an EC2 serial console?,1
How many IGWs can you have per VPC?,1
How many NACLs can you have per subnet?,1
How many resources are allowed in a CF stack?,500
How many route tables can a subnet be associated with?,1
How much throughput can you have per site to site VPN connection?,1.25 Gbps
How should log lifecycle be managed in AWS?,Use S3 lifecycle policies to transition or delete logs after defined periods. Enable S3 Object Lock for immutability. Use CloudWatch retention settings for log groups.
How should secrets be passed securely to compute workloads?,Use AWS Secrets Manager or AWS Systems Manager Parameter Store with IAM policies to restrict access.
How to regain access to a linux EC2 with EBS volume swap (6 steps),1. Create a new key pair 2. Stop the original EC2 3. Detach EBS root volume 4. Attach EBS volume to a temp EC2 as a second volume 5. Edit ~/ssh/authorized_keys 6. Reattach volume
Identity-based vs resource-based policy: difference?,"Identity-based attaches to a user/role (what THIS identity can do). Resource-based attaches to the resource (who can access THIS resource), e.g. an S3 bucket policy."
"If S3 versioning is enabled, what happens when you delete an object",It is marked for deletion and it is hidden. It is not actually deleted.
"If you need multicast between your VPCs, what service should you use?",Transit gateway
"If you want to stress test your infrastructure for a DDOS, who can you go to?",An AWS test partner.
"If you wanted to troubleshoot boot issues with an EC2 instance, how would you connect?",EC2 Serial console
Inspector vs GuardDuty: what's the distinction?,Inspector = vulnerability/CVE + network-reachability assessment of workloads. GuardDuty = runtime threat detection from logs/traffic.
IR order of operations for a compromised credential?,Contain (disable/revoke the credential and sessions) -> rotate the secret -> investigate via CloudTrail -> remediate root cause.
Is a NACL stateless or stateful?,Stateless
Is a NATGW resilient across regions?,No it is available per AZ.
Is a security misconfiguration with an S3 bucket a policy finding or sensitive data finding with Macie?,Policy
Is AWS IAM credentials report or AWS config remediations superior?,AWS config remediations because it is automated.
Is CloudTrail enabled by default?,Yes it is.
Is financial data a policy finding or sensitive data finding with Macie?,Sensitive data finding
Is split tunnel enabled by default on ClientVPN?,"No, but it can be enabled for more optimal pathing."
KMS vs CloudHSM: when each?,"KMS = managed, multi-tenant key management (most cases). CloudHSM = dedicated single-tenant hardware for strict compliance or custom needs."
Macie vs GuardDuty: what's the distinction?,Macie = discovers and classifies sensitive data (PII) in S3. GuardDuty = detects threats/anomalous activity.
Name some AWS services used to isolate compromised resources.,"VPC Security Groups, Network ACLs, IAM policies, AWS Systems Manager (to quarantine EC2), AWS Firewall Manager."
SCP vs RCP: what's the difference?,"SCP limits what PRINCIPALS (identities) in accounts can do; RCP limits what can be done TO RESOURCES, regardless of who's asking."
Secrets Manager vs Parameter Store: when each?,"Secrets Manager = secrets with built-in rotation (costs per secret). Parameter Store = config + secrets, free tier, no native rotation. Use Secrets Manager when you need rotation."
Security Group vs Network ACL: stateful or stateless?,"Security Group = stateful (return traffic auto-allowed), operates at the instance/ENI. NACL = stateless (must allow both directions), operates at the subnet."
SSE-S3 vs SSE-KMS vs SSE-C: who controls the key?,"SSE-S3 = AWS-managed keys. SSE-KMS = KMS keys (auditable, you control policy/rotation). SSE-C = customer-provided keys (you supply the key per request)."
True/False: You can expose any AWS service through API gateway,True
WAF vs Shield vs Network Firewall: which for what?,"WAF = L7 web request rules (SQLi, XSS). Shield = DDoS protection. Network Firewall = stateful traffic filtering inside a VPC."
What 2 main things does IAM access analyzer do?,1. Find resources that are exposed outside of the zone of trust. 2. Help you identify vulnerabilities in IAM policies and generate more secure ones.
What 2 things does inspector look for in lambda functions?,1. Vulnerable libraries/packages 2. The functions themselves as they are deployed.
What 4 locations can WAF be deployed at?,1. ALB 2. API Gateway 3. CloudFront 4. AppSync
What are 4 ways you can improve performance with Amazon Athena?,1. Use columnar data 2. Compress data 3. Partition data sets 4. Use larger files
What are AWS Certificate Manager (ACM) certificates and when are they used?,"ACM issues and renews publicly trusted certificates, imports third-party certificates, and issues private certificates through AWS Private CA, for TLS across AWS services."
What are AWS Config rules and their role in governance?,AWS Config rules evaluate resource configurations for compliance with organizational policies and standards.
What are AWS Control Tower's key benefits?,"Automates multi-account setup with blueprints, sets up landing zones, integrates guardrails via SCPs and AWS Config, and simplifies compliance and governance."
What are AWS Nitro Enclaves?,"Isolated, hardened EC2 compute environments with no persistent storage, interactive access, or external networking, used to process highly sensitive data such as tokenizing card or health data."
What are best practices for securing EC2 workloads?,"Use hardened AMIs, apply patches regularly, scan with Amazon Inspector, use IAM instance roles, and secure data using encrypted EBS volumes."
What are CloudTrail data events?,High volume events that show resource-level activity
What are CloudTrail digest files?,Logs that reference the log files for the last hour and keeps a hash of each
What are CloudTrail insights events?,CloudTrail Insights detects unusual API activity patterns in management events and records them as Insights events.
What are cloudtrail logs for?,"Cloudtrail logs are used to record actions taken by users, roles, or other services with an AWS account."
What are cloudtrail management events?,Operations performed on resources in your aws account.
What are Cloudwatch logs used for?,"Capturing and storing log data from apps, services, and AWS resources. Think application, service logs."
What are common threats addressed by edge services?,"DDoS attacks, injection attacks, XSS, path traversal, brute force attacks, and the OWASP Top 10 vulnerabilities."
What are composite cloudwatch alarms?,An alarm that monitors the status of other alarms.
What are declarative policies in AWS Organizations?,Centrally enforce a desired configuration state for a service across accounts (e.g. block disabling of a security feature) that persists even as the service evolves.
What are EventBridge event busses?,Amazon EventBridge uses event buses to route events from multiple sources to multiple destinations.
What are HTTP security headers?,"Response headers that tell the browser how to handle content, such as Strict-Transport-Security, Content-Security-Policy, and X-Frame-Options."
What are important attributes of logs to consider?,"Log level (INFO, WARN, ERROR), verbosity, data type, retention period, storage format, and destination."
What are Macie Data identifiers?,A pattern matching rule to detect sensitive data in your AWS environment
What are prefix lists?,Groups of CIDRs you can use to match large numbers of subnets
What are root account best practices in AWS?,"Enable MFA, use only for essential tasks, don't create access keys, and monitor with CloudTrail."
What are S3 event notifications?,"S3 event notifications are a way for Amazon S3 to automatically alert other AWS services when certain actions happen to your objects (like uploads, deletes, etc.)."
What are Service Control Policies (SCPs) used for?,"SCPs define guardrails for what actions accounts in an AWS Organization can perform. They don't grant permissions, only restrict them."
What are Shield advanced CloudWatch Metrics for?,Detecting if a DDoS is happening
What are signed cookies?,A cookie that grants access to a resource for a ephemeral time period
What are signs of anomalies in logs?,"Repeated access denied errors, unusual IP addresses, spikes in usage, root account activity, or unexpected changes in service configurations."
What are some example State Manager Associations you can make?,"Mandatory AV/EDR installation, closing ports."
What are the 4 recommended settings for S3 hardening,1. Block public access 2. Enforce strong bucket policies and user policies 3. Use VPC endpoints for S3 and limit access to just one VPC 4. Use S3 presigned URLs
What are the 5 rule actions for WAF?,1. Count 2. Allow 3. Block 4. CAPTCHA (user interaction) 5. Challenge (only client interaction)
What are the differences between long-term and temporary credentials in AWS?,Long-term credentials include IAM user passwords and access keys; temporary credentials are issued via AWS STS and have a limited lifespan (seconds to hours).
What are the four kinds of CloudTrail events?,1. Management Events 2. Data events 3. Cloudtrail insights events 4. Network activity events
What are the four ways that you can expose your VPC's services to other VPCs?,1. Make it public 2. VPC Peering 3. AWS Private Link 4. Transit Gateway
What are the log expiration policies you can set for CloudWatch logs?,1 day - 10 years or never.
What are the main types of IAM policies in AWS?,"Managed policies (AWS or customer), inline policies, identity-based policies (attached to users, groups, roles), and resource-based policies (attached to resources)."
What are the requirements for EC2 serial console,1. Nitro based EC2 instance 2. Serial console is enabled on the account level (disabled by default)
What are the three CloudWatch alarm states?,1. OK 2. Insufficient data 3. Alarm
What are the three main types of encryption for data at rest in AWS?,"Server-side encryption (SSE), client-side encryption, and application-level encryption."
What are the two kinds of Macie data identifiers?,1. Managed 2. Custom
What are the two kinds of Macie findings?,1. Policy findings 2. Sensitive data findings
What are the two VPC endpoints for code deploy?,1. API 2. Agent
What are three things you can trigger with AWS event bridge?,1. Cron jobs 2. Event pattern (react to a service doing something) 3. Trigger lambda
What are three ways you can restrict access to CloudFront resources?,1. Geo location 2. Signed URLs 3. Signed Cookies
What are VPC Endpoint Policies?,Resource based policies for VPC endpoints.
What are VPC Endpoints Interfaces used for?,Provides an interface within your VPC that allows you to connect to AWS service. Uses PrivateLink.
What are VPC Endpoints?,An ENI in your VPC that connects you to AWS services.
What are VPC Flow Logs?,"Capture metadata about IP traffic to/from network interfaces in a VPC. Used to investigate traffic, detect anomalies, and troubleshoot connectivity."
What are ways to ensure integrity of data at rest in AWS?,"Use hashing algorithms (e.g., SHA-256), digital signatures, S3 Object Lock, Glacier Vault Lock, and KMS key policies."
What are ways to preserve forensic artifacts in AWS?,"Use S3 Object Lock (WORM), isolated forensic accounts, S3 Lifecycle policies, and cross-region S3 replication."
What are ways to troubleshoot AWS authentication issues?,"Use CloudTrail logs, IAM Access Advisor (to view permissions), IAM Policy Simulator, and verify role/session assumptions using AWS CLI or console."
What area does the AD connector fall short of MS AD in AWS?,High availability
What area is AWS SAML federation still useful?,"Temporary, programmatic access"
What authentication mechanism is recommended for enterprise SSO in AWS?,"Use IAM Identity Center (formerly AWS SSO) integrated with external IdPs such as Azure AD, Okta, or on-prem Active Directory."
What AWS features provide network telemetry?,"VPC Flow Logs, Traffic Mirroring, Network Firewall logs, Load Balancer logs."
What AWS permission policy is needed to allow SSM to manage an EC2 instance?,AmazonSSMManagedInstanceCore
What AWS service allows you to manage encryption keys?,"AWS Key Management Service (KMS) enables key generation, rotation, auditing, and usage policies."
What AWS service can be used to connect AWS to your on-prem AD?,AD connector
What AWS service can enforce guardrails like 'disallow creation of public S3 buckets' across all accounts?,Service Control Policies (SCPs) via AWS Organizations
What AWS service can you use to centralize your VPC traffic monitoring,Use a transit gateway to route traffic to set up a hub and spoke with the security VPC as the hub.
What AWS service provides drift detection in infrastructure deployments?,AWS CloudFormation
What AWS services are used to control traffic in a VPC?,"Security groups (instance-level), network ACLs (subnet-level), AWS Network Firewall (stateful inspection), and VPC route tables."
What AWS services can automate incident remediation?,"AWS Lambda, AWS Step Functions, EventBridge, AWS Systems Manager, AWS Config, and Security Hub."
What AWS services can be used to manage identities and authentication?,"IAM (users, groups, roles), IAM Identity Center (SSO), Amazon Cognito (user pools and federated identities), and third-party IdPs via federation (SAML, OIDC)."
What AWS services require encryption in transit and support TLS?,"Amazon S3, Amazon RDS, DynamoDB, EFS, API Gateway, CloudFront, Redshift, Load Balancers, etc."
What AWS services support automatic lifecycle management?,"Amazon S3, EBS snapshots, RDS snapshots, CloudWatch logs, and container images using Amazon Data Lifecycle Manager."
What can be connected to a transit gateway? (three things),1. VPC 2. Direct Connect Gateway 3. Customer Gateway/site to site VPN
What can cause missing logs in AWS?,"Misconfigured permissions, disabled logging services, incorrect log destinations (e.g., wrong S3 bucket or region), or lack of data generation."
What can cause monitoring failures in AWS services like Security Hub?,"Common issues include missing permissions, disabled integrations, misconfigured EventBridge rules, or lack of findings due to insufficient data sources."
What can you place on an S3 object to prevent deletion until it is removed?,Legal hold
What causes unintended access in IAM and how can it be resolved?,"Unintended access can be caused by overly permissive policies, inherited permissions, or trust relationships. Use IAM Access Analyzer and policy simulation to detect and correct it."
What combination of services can be used to respond to ANY type of API call in your account?,CloudTrail and Event Bridge
What data sources does Amazon Detective automatically process data from?,1. VPC flow logs 2. Cloud Trail 3. Guard Duty
What direction does CloudFront field level encryption work in?,Sending data from the user to the server.
"What do ""Not Actions"" do in IAM policies?",Provide access to all actions in he service except for actions specifically mentioned
What do AWS config rules do?,Help you evaluate if AWS configs comply with best practices
What do CloudFormation intrinsic functions allow you to do?,Assign values to resources in your template using logic. ie Fn::Join
What do Parameter Policies do?,Allow you to set an expiration date on creds to force them to be updated or deleted.
What do resource groups allow you to do?,Resource groups allow you to group instances and automate tasks on them at once.
What do signed URLs do?,A URL signed by CloudFront that grants access to content for an ephemeral time.
What do VPC endpoint gateways do?,VPC endpoints for S3 and DynamoDB that use route tables.
What do VPC endpoints do?,Allow you to connect to AWS services within your private network instead of a public network
What do write-only management events capture in CloudTrail?,"API operations that modify or might modify resources, such as RunInstances and TerminateInstances."
What do you need on the customer VPC side with VPC peering,ENI or GWLB
What do you need on the Service VPC side with VPC peering?,NLB
"What does ""minimize blast radius"" mean in incident prep?","Limit how far a compromise can spread: least privilege, account/network segmentation, scoped roles, isolation playbooks ready in advance."
What does a CloudWatch subscription filter do?,Allows you to filter logs from a CloudWatch logs subscription as they are being delivered.
What does a log subscription do?,Real time stream of logs from CloudWatch.
What does a Virtual Private gateway do?,It is the AWS side of the VPN connection or AWS direct connection
What does Amazon Detective do?,Provides analytics data to identify suspicious activity in AWS system architecture
What does Amazon Event Bridge schema registry do?,Stores schemas for AWS
What does Amazon Macie do?,"Discovers and classifies sensitive data, such as PII, stored in S3, using managed and custom data identifiers."
What does an Amazon Cognito identity pool do?,"Exchanges an authenticated token, or guest status, for temporary AWS credentials."
What does API GW do?,Create and manage an API at scale
What does AWS artifact do?,Gives compliance reports and tracks status of compliance
What does aws config do?,Stores a configuration history of your AWS account.
What does AWS Firewall Manager do?,Manages all FW rules in all accounts of an AWS organization
What does AWS PrivateLink do?,"AWS PrivateLink enables secure, private connectivity between your VPC and AWS services, third-party SaaS applications, or other VPCs; without exposing traffic to the public internet ."
What does AWS Shield advanced protect?,"Everything that Shield standard does, and L7 resources too."
What does AWS Shield do?,"Protect from floods, reflections, and other ddos attacks."
What does AWS Shield standard protect against?,Common L3 and L4 layer attacks.
What does AWS State manager do?,Automate the process of keeping instances in a state you defined
What does CGW stand for?,Customer Gateway
What does cloudwatch contributor insights do?,Analyze the amount of noise each log source generates.
What does CloudWatch insights allow you to do?,Write queries to filter through CloudWatch logs.
What does EventBridge Schema discovery do?,Listens for events sent to event bridge and analyzes their structure to generate a schema
What does IMDS stand for?,Instance Meta Data Service
What does KMS GenerateDataKeyWithoutPlaintext return?,"Only an encrypted data key, never a plaintext copy; used to provision keys for later decryption without exposing plaintext at creation."
What does Lambda @edge do?,"Lambda functions that modify traffic between viewer and edge location, and edge location and origin."
What does OAC do?,Restrict access to content stored in S3 using signed authorization headers.
What does OAC stand for?,Origin Access Control
What does SNI stand for?,Server Name Indication
What does SSM Inventory allow you to do?,"Collect metadata from managed instances such as software, OS driver, configs, updates, services, etc."
What does SSM Parameter store do?,Secure storage for configurations and secrets
What does SSM Run Command allow you to do?,Run scripts/commands on systems and save the output to S3/CloudWatch.
What does Stratus Red Team do?,Simulates AWS attack techniques (TTPs) so you can verify your detection (e.g. GuardDuty) actually fires. Useful for proving detection works.
What does STS do?,Generates temporary credentials
What does STS stand for?,Security Token Service
What does the procstat Cloudwatch agent plugin do?,Collects metrics about individual processes running on your systems.
What does the SNI do?,Allows multiple sites to share one IP address.
What does the Unified Cloudwatch Agent do?,"Collect system metrics such as RAM, CPU, Storage, etc. and sends it to cloudwatch"
What does the VPC network access analyzer do?,Helps you understand potential network paths to/from your resources
What does VGW stand for,Virtual private gateway
What does VPC traffic mirroring do?,Basically SPAN for AWS
What feature of Amazon Inspector can be used to identify open ports and assess network reachability?,Inspector Network Reachability
What feature of IAM can be used to ensure different users in the same role have different access based on attributes like department?,Attribute-Based Access Control (ABAC)
What field do you view to determine the actions performed by your security groups in a VPC flow log?,The action field
What happens to an EBS volume when it is provisioned to a new customer?,"The storage is sanitized first, so the new customer cannot see any prior data."
What happens to EBS volumes when they are deleted?,The storage is placed in an unallocated aws pool of storage. The data remains on them.
What happens to the presigned URL when your temporary credentials with the IAM role expire?,The presigned URL stops working
What IAM key can you use to restrict access to a resource to just the organization?,aws:PrincipalOrgId
What IAM security tool would you use to show the service permissions granted to and when they were last accessed?,IAM access advisor
What interface device can be used to enable traffic between on prem and AWS services,Virtual Interface
What IP address is the VPC router located at?,VPC network+1
What IP is the network+3 address used for in a VPC?,Reserved
What IP is used in each VPC for DNS?,Network+2
What is a bastion host?,"Basically a hardened, internet facing jumpbox"
What is a best practice for centralizing AWS logs?,"Send all service logs to a central S3 bucket, using CloudTrail, VPC Flow Logs, CloudWatch Log subscriptions, and configure centralized access controls."
What is a cache miss?,When the CloudFront Edge location does not have the requested resource
What is a CloudFront behavior?,A configuration rule that determines how CloudFront Routes URL patterns
What is a CloudWatch alarms period?,Period is the length of time to use to evaluate the metric or expression to create each individual data point for an alarm.
What is a CloudWatch log group?,An arbitrary name to group the logs. Usually by application.
What is a CloudWatch Log stream?,A CloudWatch log stream is a sequence of log events that share the same source
What is a common issue with CloudTrail logs not appearing in S3?,"Missing S3 bucket permissions, trail not enabled for all regions, or misconfigured KMS key access."
What is a delegated administrator account?,"A member account granted admin rights for a specific security service (e.g. GuardDuty, Security Hub) so security isn't run from the management account."
What is a free form way you can use to describe your EC2 instances?,Tags
What is a hardened AMI and how is it created?,"An AMI that is configured for security best practices (e.g., disabled unused services, patched OS). Created using EC2 Image Builder or manual hardening steps."
What is a Kubernetes NetworkPolicy (security relevance)?,"Controls which pods can talk to which, enabling microsegmentation inside the cluster (Zero Trust east-west traffic control)."
What is a layered defense strategy for edge services in AWS?,"Combine Amazon CloudFront (CDN), AWS WAF (request filtering), Shield (DDoS protection), and load balancers to create multiple layers of protection at the edge."
What is a NAT instance?,An EC2 instance running NAT software. Limited by instance size
What is a network access scope (Network Access Analyzer)?,Json data that contains conditions to define your network security policy
What is a patch baseline?,Defines what patches should be installed on your instances
What is a permission boundary in IAM?,"An advanced policy that caps the MAXIMUM permissions an IAM entity can have, even if its identity policies grant more. Used to safely delegate role creation."
What is a presigned URL?,A URL that gives someone the same permissions as the user that granted the URL.
What is a risk of using IAM inline policies extensively?,"Inline policies are tightly coupled to users/resources and harder to audit and reuse, increasing risk of privilege creep."
What is a session policy in AWS and how is it used?,A session policy is an optional inline policy passed when assuming a role or federating via STS. It further limits permissions during the session.
What is a site to site VPN used for in AWS?,Connecting on prem resources to your AWS resources.
What is a state manager association?,A configuration you assign to EC2 instances to maintain a specific state.
What is Amazon Athena?,A serverless query service to analyze data in S3
What is Amazon CloudWatch Logs?,"Centralizes logs from EC2, CloudTrail, Route 53, applications, and other sources into one searchable service, with per-group retention, Logs Insights queries, metric filters, sensitive data masking, and two log classes, Standard and Infrequent Access."
What is Amazon Inspector?,"A vulnerability management service that continually scans EC2 instances, ECR container images, and Lambda functions for software vulnerabilities and unintended network exposure, and reports each issue as a finding."
What is Amazon Security Lake?,"A managed service that centralizes security data from AWS and third parties into a data lake, normalized to the OCSF schema."
What is an AI service opt-out policy in AWS Organizations?,An Organizations policy that opts all accounts out of AWS using your content for AI service improvement.
What is an Amazon Cognito user pool?,"A user directory handling sign-up and sign-in for web and mobile apps; user pools authenticate, identity pools authorize to AWS."
What is an Athena Federated query?,"Allows you to run SQL across data stored in relational, non-relational, object and custom data sources."
What is an Egress only IGW used for?,Keeps your IPv6 devices private and unreachable inbound
