front,back
What is PowerShell Remoting and how does it work?,"Enables remote command execution, over WinRM on Windows and over SSH on any platform in PowerShell 7."
"What is PowerShell, and how does it differ from Command Prompt or Bash?","PowerShell is an object-oriented shell and scripting language built on .NET, unlike CMD or Bash which are text-based and string-oriented."
What is reflection in PowerShell?,"Accessing metadata about objects, types, and assemblies at runtime."
"What is the 'Begin', 'Process', and 'End' blocks in advanced functions?",Special blocks for pipeline processing stages.
What is the 'dynamic parameters' feature?,Parameters that are added dynamically during runtime.
What is the 'using' statement in PowerShell 5.0+?,Allows importing namespaces or modules at the top of scripts.
What is the difference between $args and param()?,$args is an automatic array for unnamed arguments; param() defines named parameters.
What is the difference between $null and empty string?,"$null means no value, an empty string is a value of zero length."
What is the difference between $PSVersionTable and $Host?,"$PSVersionTable shows PowerShell version info, $Host gives host environment info."
What is the difference between -and and &&?,"-and is a logical operator on boolean expressions. In PowerShell 7 and later, && and || are pipeline chain operators that run the next command based on the previous command's success; Windows PowerShell 5.1 does not have them."
What is the difference between -eq and -like operators?,"-eq tests equality, while -like supports wildcard pattern matching."
"What is the difference between `$PROFILE`, `$MyInvocation`, and `$PSScriptRoot`?","`$PROFILE` is the profile path, `$MyInvocation` provides script context, `$PSScriptRoot` is the script’s folder path."
What is the difference between `Write-Output` and `Return`?,`Write-Output` sends data to the pipeline; `Return` exits a function with a value.
"What is the difference between `Write-Output`, `Write-Host`, and `Write-Verbose`?","`Write-Output` sends to pipeline, `Write-Host` writes to console, `Write-Verbose` logs when enabled."
What is the difference between a parameter and an argument?,"Parameter is defined in the function signature, argument is the value passed."
What is the difference between foreach and ForEach-Object?,"'foreach' is a language keyword, ForEach-Object is a cmdlet that processes pipeline input."
What is the difference between functions and cmdlets?,"Cmdlets are compiled commands built in .NET, while functions are scripts written in PowerShell."
What is the difference between functions and scripts?,Functions are reusable blocks inside scripts or sessions; scripts are standalone files.
What is the difference between script scope and global scope?,Global scope variables are accessible everywhere; script scope is limited to the script.
What is the difference between splatting and normal parameter passing?,"Splatting passes parameters as a hashtable or array, improving readability."
What is the difference between synchronous and asynchronous commands?,Synchronous commands block until complete; asynchronous run concurrently.
What is the difference between value types and reference types in PowerShell?,"Value types store data directly, reference types store pointers to data."
What is the difference between Write-Verbose and Write-Debug?,"Write-Verbose is for general info, Write-Debug is for debugging output."
"What is the PowerShell pipeline, and how does it work internally?","The pipeline passes objects, not text, between cmdlets enabling rich object manipulation."
What is the purpose of 'Get-Content'?,Reads contents of a file.
What is the purpose of `Get-Help` and how do you use it?,"Displays cmdlet documentation, e.g., `Get-Help Get-Service -Full`."
What is the purpose of the 'Get-Process' cmdlet?,Retrieves information about running processes.
What is the purpose of the `param()` block?,Defines parameters that a script or function accepts.
What is the purpose of the pipeline (`|`) in PowerShell?,"It passes objects from one command to another, enabling powerful data manipulation."
What is the role of the PowerShell console host?,It hosts the PowerShell engine and provides the user interface.
"What is the syntax for `foreach`, `while`, and `do-while` loops?","`foreach ($i in $array) {}`, `while (condition) {}`."
What is variable scope in PowerShell?,"Scope defines where a variable is accessible: Global, Script, Local, or Private."
