front,back
What are the FedRAMP Consolidated Rules for 2026?,"The single ruleset covering both 20x certification and continuing Rev 5 obligations, published in June 2026. Effective dates and grace periods vary by ruleset, so confirm which parts apply before assuming a requirement is live."
What are the FedRAMP POA&M remediation timelines?,"High 30 days, Moderate 90 days, Low 180 days."
What are the FedRAMP SSP attachments?,"Policies and procedures per family, user guide, digital identity worksheet, privacy threshold analysis and impact assessment, rules of behavior, contingency plan, configuration management plan, incident response plan, CIS and CRM workbook, FIPS 199 categorization, separation of duties matrix, laws and regulations, integrated inventory workbook, and continuous monitoring plan. Numbering shifts between template versions."
What are the five core functions of the NIST CSF?,"Identify, Protect, Detect, Respond, and Recover."
What are the five core principles of FedRAMP 20x?,"Transparency, flexibility, accountability, accuracy, and automatic validation. The stated aim is moving assurance away from paperwork and toward evidence."
What are the five Trust Services Criteria in SOC 2?,"Security, Availability, Processing Integrity, Confidentiality, and Privacy."
What are the four ways authenticated scanning is actually done?,"Agent based, where an agent reports in and there is no credential handling at scan time. Credentialed network scan, where the scanner pulls privileged credentials from a vault. Agentless snapshot, which reads a disk snapshot out of band. And image scanning as the evidence for immutable short lived infrastructure."
What are the HIPAA breach notification requirements?,"Notification to affected individuals, HHS, and sometimes the media within 60 days of discovery."
What are the incident reporting timelines for DFARS/CMMC and FedRAMP?,DFARS and CMMC require reporting to DoD within 72 hours. FedRAMP requires reporting confirmed incidents to the agency and US-CERT within one hour.
What are the key principles of GDPR?,"Lawfulness, fairness, transparency, purpose limitation, data minimization, accuracy, storage limitation, integrity, and confidentiality."
What are the layers of Kubernetes security?,"Cluster level API server authentication and authorization, etcd encryption, and audit logging. RBAC with least privilege and no cluster admin for workloads. Namespace isolation with quotas. Network policies defaulting to deny. Pod Security Standards enforced at admission. Admission control with OPA Gatekeeper or Kyverno. Secrets from an external manager rather than in etcd. Workload identity so pods assume cloud identity without stored credentials. Runtime detection such as Falco."
What are the OSCAL model layers?,"Catalog, the control catalog itself. Profile, a baseline meaning a tailored selection of a catalog. Component definition, how a component satisfies controls. System security plan. Assessment plan and assessment results. Plan of action and milestones."
What are the penalties for GDPR violations?,"Fines up to €20 million or 4% of global annual turnover, whichever is higher."
What are the recurring FedRAMP continuous monitoring deliverables?,"Monthly authenticated vulnerability scans (infrastructure, web, database, container), monthly POA&M submission, monthly updated inventory, deviation requests as applicable, significant change requests, annual assessment, annual penetration test, annual IR and contingency plan testing."
What are the seven steps of the FedRAMP authorization path?,1. Optional readiness assessment. 2. Agency sponsor and FIPS 199 categorization. 3. Pre-authorization planning. 4. Initial 3PAO assessment. 5. POA&M creation. 6. Agency authorization and PMO review. 7. Continuous monitoring.
What are the seven steps of the RMF (NIST 800-37)?,"Prepare, Categorize, Select, Implement, Assess, Authorize, Monitor."
What are the six steps of the ConMon process?,"Define the required posture, establish the monitoring framework, implement collection, analyze and report, respond, then review and update and start again."
What are the source documents for FedRAMP continuous monitoring?,"NIST 800-137, the ConMon Playbook, the FedRAMP Continuous Monitoring Strategy Guide, and the Continuous Monitoring Performance Management Guide."
What are the three FedRAMP deviation request types?,"False positive, risk adjustment, operational requirement."
What are the three FedRAMP Marketplace designations?,"Ready, In Process, and Authorized."
What are the three impact levels in FedRAMP?,"Low, Moderate, and High, based on FIPS 199 categorization."
What are the three Implementation Groups (IGs) in CIS Controls v8?,"IG1 (basic), IG2 (intermediate), and IG3 (advanced), based on risk and resources."
What are the three main rules of HIPAA?,"The Privacy Rule, the Security Rule, and the Breach Notification Rule."
What are the three pillars of API security?,"Authentication to establish identity, usually OAuth 2.0 or OIDC with a token validated on every request rather than trusted once. Authorization to decide what that identity may do, including the object level check that this user owns this specific record. And server side input validation, because client side validation is a usability feature."
What Azure Policy assignments carry the most weight for FedRAMP?,"Diagnostic settings to Log Analytics, required tags with modify, allowed locations for data residency, deny public network access on PaaS with private endpoints, deny public IP on network interfaces, deny 0.0.0.0/0 to management ports, HTTPS only and minimum TLS, guest configuration for OS baselines, Defender for Cloud plans enabled, and the built-in FedRAMP or 800-53 initiative."
What certification can organizations achieve for ISO 27001?,ISO 27001 certification by accredited certification bodies.
What did the 20x pilots show about who succeeds?,"The organizations that succeeded were led by engineering and product teams treating certification like any other product, not by compliance staff alone."
What did the FedRAMP 20x pilots demonstrate?,"That Key Security Indicators can show security posture in near real time in place of static annual assessments, that automated validation integrates with existing provider tooling, and that adoption requires deep engagement from engineering teams rather than compliance staff alone."
What documentation is required for FedRAMP?,"System Security Plan (SSP), Security Assessment Plan (SAP), Security Assessment Report (SAR), POA&M, etc."
"What does 800-171 cover that FedRAMP does not, and vice versa?","800-171 addresses confidentiality of CUI only. FedRAMP covers confidentiality, integrity, and availability."
"What does A&A stand for, and what are its two halves?","Assessment and Authorization. Assess the controls independently, then a designated official authorizes the system. Formerly called C&A."
What does accumulated backlog mean when gating a release?,"The existing pile of known unfixed findings that predate the current change. If the gate fails on the whole backlog it fires on every build, and a gate that always fires gets bypassed or disabled. Gate on what this change introduces, and work the backlog on its own schedule through the POA&M."
What does admission control in Kubernetes correspond to in Azure?,"Azure Policy deny. It rejects workloads at deploy time that violate policy, such as unsigned images, privileged containers, or missing labels."
What does IL4 add on top of FedRAMP Moderate?,"A DoD Provisional Authorization from DISA, connectivity through a Cloud Access Point, US persons requirements and background investigations for privileged users, data at rest in the US, tenant separation from non-DoD workloads, and DISA STIG hardening."
What does RA-3 require?,"A documented risk assessment, updated on a defined frequency and when significant change occurs. It is the closest FedRAMP analog to the CMMC risk assessment requirement."
What does reconciliation mean in a ConMon context?,"Comparing three lists that are supposed to agree: what is actually deployed, what the inventory workbook says exists, and what the scanner actually scanned."
What does the FedRAMP template call the control narrative?,The implementation description. Practitioners commonly say implementation statement. Both are understood.
What does vendor dependency tracking require?,A flag on the item plus a recorded check-in with the vendor on a recurring cadence. Waiting on a vendor is legitimate; waiting with no record of chasing them is a finding.
What framework underlies SOC 2 reports?,The AICPA Trust Services Criteria framework.
What happens in pre-authorization planning?,"Draft the SSP in detail, prepare the SAP, boundary and data flow diagrams, and attachments. Align with the sponsor and 3PAO on scope, remediation schedule, and test logistics. Close gaps before formal testing. Multiple iterations here are normal and they shorten the assessment."
What happens when ConMon obligations are missed?,"They age into POA&M findings, become visible to agency buyers through the Marketplace, and sustained failure can cost the authorization."
What is a bridge letter in SOC 2 compliance?,A document covering the gap between a report end date and current date.
What is a business associate under HIPAA?,A person or entity that performs functions involving PHI on behalf of a covered entity.
What is a C3PAO versus a 3PAO?,C3PAO assesses CMMC. 3PAO assesses FedRAMP. Both are accredited independent assessors.
What is a CISA Binding Operational Directive (BOD)?,"A broader standing requirement for federal civilian agencies, as opposed to the incident-driven Emergency Directive."
What is a CISA Emergency Directive?,"A binding order to federal civilian agencies when a threat is confirmed and actively exploited. Mandatory actions with a hard deadline, overriding normal risk-based prioritization."
What is a Cloud Access Point?,"The controlled connection point through which DoD cloud traffic must route, rather than connecting directly to the internet."
What is a common challenge in managing multiple cybersecurity frameworks?,Differing requirements and terminology can create complexity and overhead.
What is a Data Protection Officer (DPO)?,A designated individual responsible for GDPR compliance within an organization.
What is a DoD Provisional Authorization?,"An authorization issued by DISA for a cloud offering at a given Impact Level, separate from the FedRAMP ATO. It is not an ATO. The PA says the offering is acceptable for DoD use; the mission owner consuming the service still issues their own ATO on top of it, inheriting the PA and adding controls for how they use it."
What is a FedRAMP 20x participant?,A provider that has entered the 20x certification path rather than the legacy Rev 5 authorization path. Phases 1 and 2 were the Low and Moderate pilots; Phase 3 opened it to wide adoption.
What is a FedRAMP ATO?,Authorization to Operate granted after successful security assessment.
What is a POA&M?,"Plan of Action and Milestones. Open gaps with owners, remediation plans, and target dates."
What is a Readiness Assessment Report (RAR)?,"An optional 3PAO health check against the baseline, reviewed by the PMO. If approved you are listed as FedRAMP Ready. It requires an unambiguous attestation with no conditional language, and no penetration test is required at that stage."
What is a SAP in the FedRAMP artifact set?,Security Assessment Plan. How the 3PAO will test the controls.
What is a SAR in the FedRAMP artifact set?,Security Assessment Report. The assessor's findings after testing.
What is a Self-Assessment Questionnaire (SAQ) in PCI DSS?,A validation tool for merchants to assess their compliance with PCI DSS.
What is a significant change request in FedRAMP?,A formal submission and approval required before implementing a major change to an authorized system. There is no CMMC equivalent.
What is a Work Breakdown Structure in the FedRAMP context?,"The milestone timeline for the authorization effort, submitted with the In Process Request."
What is an In Process Request (IPR)?,The package submitted to the FedRAMP PMO once an agency sponsor is secured. It includes a project plan and a work breakdown structure. Acceptance gets you listed as In Process on the Marketplace.
What is an ISMS in the context of ISO 27001?,A systematic approach to managing sensitive company information to remain secure.
What is an Organization Defined Parameter (ODP)?,"The blanks inside a control, such as how often something happens or how long something is retained. FedRAMP prescribes many of these values rather than letting the organization choose, which is a key difference from CMMC."
What is an OSCAL component definition?,"A description of how a given component or service satisfies controls, reusable across systems."
What is an OSCAL profile?,A baseline expressed as a selection and tailoring of a catalog. FedRAMP Moderate as a profile.
What is an SCA in DoD terminology?,Security Control Assessor. The independent assessor role in DoD authorizations.
What is BOLA?,"Broken Object Level Authorization, the top item in the OWASP API Top 10. It is not an authentication failure. The user is legitimately logged in and simply requests a record belonging to someone else by changing an identifier. It is the failure that leaks other customers' data."
What is CNSSI 1253?,"Categorization guidance for national security systems. Defines how 800-53 controls apply to NSS, and pairs with the DoD Cloud SRG."
What is eMASS?,"The DoD web-based system of record for managing the RMF process and ATO packages: controls, implementation detail, assessment results, POA&M, and the workflow to authorization."
What is FedRAMP 20x?,"A certification approach that replaces narrative control documentation with measurable Key Security Indicators and automated validation. IN EFFECT NOW: Classes A, B, and C are finalized and available."
What is FedRAMP Ready status?,"A designation indicating a provider is prepared to begin the authorization process, based on a 3PAO readiness assessment. Its role is changing under the Consolidated Rules for 2026 as the program moves toward 20x certification."
What is FedRAMP?,A U.S. government program that standardizes cloud security assessments for federal agencies.
What is FIPS 140-3?,Cryptographic module validation. Validated modules are required for anything protecting federal data. FIPS 140-2 is the predecessor.
What is FIPS 199 and when is it used?,"Categorizes a system as Low, Moderate, or High based on impact to confidentiality, integrity, and availability. Done first, because it drives baseline selection."
What is FIPS 200?,"Minimum security requirements. The bridge that says once a system is categorized, apply the corresponding 800-53 baseline."
What is GovRAMP?,The state and local government equivalent of FedRAMP. Formerly StateRAMP.
"What is IAVM, and what is an IAVA?","Information Assurance Vulnerability Management is the DoD program for mandated vulnerability response. An IAVA is a mandatory, tracked, deadline-bound alert that must be acknowledged, remediated, and reported up the chain."
What is in a FedRAMP SSP above the control implementations?,"System name and identifier, FIPS 199 categorization and information types, owner and authorizing official and contacts, operational status, service and deployment model, system description and data flows, environment and inventory, interconnections, applicable laws and standards."
What is in the integrated inventory workbook?,"A row per asset: unique identifier, IP, DNS and NetBIOS name, MAC, whether virtual, whether public, OS and software vendor, product and version, patch level, function, asset type, network or VLAN, and system and application owners."
What is included in the management assertion of a SOC 2 report?,A statement by management asserting the design and operation of their controls.
What is ISO 27002?,A code of practice that provides guidance on implementing ISO 27001 controls.
What is meant by 'Privacy by Design' in GDPR?,Integrating data protection into system design and business processes from the start.
What is OSCAL?,"Open Security Controls Assessment Language. NIST machine-readable formats in JSON, XML, and YAML for control implementations, SSPs, assessment plans, and POA&Ms, replacing prose documents with structured data that can be validated automatically."
"What is Poka-Yoke, and how does it apply to compliance?",A manufacturing term for mistake proofing: designing so the defect cannot occur rather than detecting it afterward. In compliance it is Policy deny rather than Policy audit.
What is RA-7?,"Risk Response, a Rev 5 addition. Responding to findings from risk assessments, which is where accepting, avoiding, transferring, or mitigating gets recorded."
What is SBOM and why does it matter?,"Software bill of materials, the inventory of every component and dependency in a build. Its value is answering within minutes whether you are affected when a vulnerability lands in a widely used library, rather than searching for days. Log4Shell is why it became a requirement."
What is silent authentication failure?,"A credentialed scan whose credentials fail often still reports success, having quietly run unauthenticated. The results look clean and mean nothing. Verify authentication per host rather than trusting a green scan. Comparing authenticated host count against expected is a good first alert to build."
What is the 3PAO impartiality rule?,"A two year bar between consulting and assessing. A firm that consulted for you cannot then assess you, so consulting and assessment vendors have to be sequenced deliberately."
What is the benefit of prioritization in CIS Controls?,Helps organizations focus limited resources on the most effective defenses.
What is the biggest new work area moving from CMMC to FedRAMP?,"Availability and resilience: contingency plan, backup and restoration, disaster recovery, and annual contingency plan testing. None of these are in the 110."
What is the CISA KEV catalog?,"Known Exploited Vulnerabilities. The authoritative list of vulnerabilities confirmed to be exploited in the wild, used to prioritize ahead of raw CVSS score."
What is the consequence of SOX non-compliance?,"Legal penalties, fines, and reputational damage."
What is the core difference in what CMMC and FedRAMP authorize?,CMMC certifies an organization protecting CUI on its own systems. FedRAMP authorizes a cloud service offering that agencies consume and build on.
What is the deployment pattern for Azure Policy in a live environment?,"Audit first to learn what is actually drifting, then move the ones that matter to deny. Denying on day one breaks deployments and gets the whole program overridden."
"What is the difference between NIST 800-30, 800-37, and 800-53?",800-30 is how to conduct a risk assessment (the method). 800-37 is the RMF lifecycle (the process). 800-53 is the catalog of controls (the library).
What is the difference between SOC 2 Type I and Type II reports?,Type I reviews controls at a point in time; Type II assesses over a period (typically 6 to 12 months).
What is the difference between the Privacy Rule and the Security Rule in HIPAA?,The Privacy Rule governs all PHI; the Security Rule focuses only on ePHI.
What is the DoD Cloud Computing SRG?,The Security Requirements Guide that defines the Impact Levels and the DoD-specific requirements for cloud services handling DoD data.
What is the FedRAMP ConMon Playbook?,"The FedRAMP document codifying the monthly, annual, and event driven obligations every CSP must meet."
What is the FedRAMP Marketplace?,A public site listing authorized cloud service offerings (CSOs) and in-process providers.
What is the FedRAMP PMO role after authorization?,"Verifying annual assessment packages, maintaining Marketplace authorization status, and quality review so packages are suitable for government-wide reuse. Its capacity is concentrated on package quality rather than monitoring individual environments."
What is the GDPR?,"The General Data Protection Regulation, an EU regulation for data privacy and protection."
What is the goal of the Recover function?,To restore capabilities or services impaired due to a cybersecurity incident.
What is the highest value Azure Policy assignment for compliance work?,"deployIfNotExists for diagnostic settings to Log Analytics. Without it there is no log evidence and no query layer, so most of the audit family and every coverage or aging query depends on it."
What is the HITECH Act's relation to HIPAA?,It strengthens HIPAA by increasing penalties and expanding breach notification rules.
What is the importance of documentation in compliance?,Provides evidence for audits and helps maintain consistent control implementation.
What is the importance of network segmentation in PCI DSS?,To reduce scope by isolating cardholder data environment from other networks.
What is the main purpose of ISO 27001?,"To provide a framework for establishing, implementing, maintaining, and improving an Information Security Management System (ISMS)."
What is the most common monthly ConMon failure?,"Scan coverage reconciliation against inventory. Assets in the inventory that were not scanned, and scanned assets absent from the inventory. Both are findings, and the reconciliation is the work rather than the scan."
What is the most common SSP failure?,"Drift. The SSP describes a system that stops existing the moment engineering ships, and the assessor tests the system rather than the document. The finding is the gap between them."
What is the Plan-Do-Check-Act (PDCA) cycle in ISO 27001?,A continual improvement model applied to manage and improve the ISMS.
What is the primary goal of the Sarbanes-Oxley Act (SOX)?,To protect investors by improving the accuracy and reliability of corporate disclosures and financial reporting.
What is the purpose of PCI DSS?,To protect cardholder data and reduce credit card fraud.
What is the purpose of the CIS Critical Security Controls?,To provide prioritized and actionable guidance to reduce cybersecurity risk.
What is the purpose of the HIPAA Security Rule?,"To protect the confidentiality, integrity, and availability of electronic protected health information (ePHI)."
What is the purpose of the Identify function in NIST CSF?,To develop an organizational understanding to manage cybersecurity risk.
What is the quarterly FedRAMP obligation?,Review for significant changes to the system.
What is the real business case for automating ConMon?,"Continuity rather than efficiency. A monthly cycle with 30, 90, and 180 day clocks does not pause for absence. If the submission requires one person's knowledge, that is a single point of failure in a program graded externally on timeliness."
What is the relationship between CIS Controls and other frameworks?,"CIS Controls map to NIST CSF, ISO 27001, and others for easier crosswalk."
What is the relationship between NIST 800-171 and 800-53?,"800-171 is a CUI-focused tailoring of the 800-53 Moderate baseline, so the control families are shared."
What is the Respond function focused on in NIST CSF?,Taking action regarding a detected cybersecurity event to contain impact.
What is the Risk Exposure Table (RET)?,A FedRAMP template produced alongside the SAP and SAR. It is the assessor view of aggregate risk at a point in time.
What is the role of a 3PAO in FedRAMP?,A Third Party Assessment Organization that performs the required security assessment.
What is the role of a Qualified Security Assessor (QSA)?,A third party authorized to assess PCI DSS compliance for organizations.
What is the role of auditors in SOX compliance?,Auditors evaluate the effectiveness of internal controls over financial reporting.
What is the role of complementary user entity controls (CUECs)?,They are controls users must implement for SOC 2 controls to be effective.
What is the role of Data Processing Agreements (DPA) under GDPR?,Contracts outlining responsibilities between data controllers and processors.
What is the role of risk management in compliance integration?,It helps prioritize controls based on impact and likelihood across frameworks.
What is the rule of thumb for Azure automation choice?,"Logic Apps to connect things, Functions to compute things, runbooks to reach things, Policy to prevent things."
What is the scanner of record?,The tool whose output you submit as the monthly deliverable and which the assessor validates. It is a distinct question from which tools you use operationally.
What is the scope of CIS Control 1 in v8?,Inventory and control of enterprise assets.
What is the scope of the FedRAMP annual assessment?,"A core set of controls FedRAMP names, plus at minimum one third of the remaining controls, plus every control that had a finding in the previous assessment. The 3PAO and CSP should also confirm with the PMO and AO whether anything additional must be tested."
What is the Security Decision Record (SDR)?,"A persistently maintained, machine-readable record of security decisions across the service lifecycle, required in human-readable and JSON form. It replaces much of what the SSP contained. Applies under the 2026 rules, not to legacy Rev 5 packages already in place."
What is the significance of encryption in PCI DSS?,Encrypting cardholder data protects confidentiality and prevents unauthorized access.
What is the significance of risk assessment in ISO 27001?,"Identifying, analyzing, and evaluating risks is critical to tailor controls appropriately."
What is the single biggest structural difference between CMMC and FedRAMP?,"CMMC leaves most of the how to the organization; FedRAMP prescribes it. Scan cadence, document formats, control parameters, remediation timelines, change process, and reporting are all your choice in CMMC and specified in FedRAMP. That is where habits from one silently produce wrong answers in the other."
What is the tradeoff between broad and specific implementation statements?,"Specific statements are easy for an assessor to test and easy to fail you on, and they go wrong the moment implementation changes. Broad statements survive change and attract less document review scrutiny, but the scrutiny does not disappear, it moves to assessment day where you improvise and commit verbally to something you would never have written. FedRAMP pushes toward specific anyway because parameters are prescribed and parts must be addressed individually."
What is Xacta?,"A commercial GRC and compliance automation platform from Telos, widely used in FedRAMP and cloud environments to build and maintain authorization packages."
What kind of organizations use CIS Controls?,Organizations of all sizes as a baseline for cybersecurity best practices.
"What phase is FedRAMP 20x in, and what does that mean?","Phase 3, wide-scale adoption, running FY26 Q3 to Q4. Phases 1 and 2 were the Low and Moderate pilots and are complete. Phase 4 (Class D High) and Phase 5 (end of new Rev 5) are future and estimated."
What replaced the JAB after OMB Memorandum M-24-15?,"M-24-15 (July 2024) eliminated the JAB and its provisional ATO path. Authorization runs through agency sponsorship, or through FedRAMP 20x program certification which does not require an agency sponsor."
What rights do data subjects have under GDPR?,"Rights to access, rectification, erasure (right to be forgotten), restriction, data portability, and objection."
What role does the Public Company Accounting Oversight Board (PCAOB) play in SOX compliance?,It oversees the audits of public companies to ensure compliance with SOX.
What should you look for in container image security?,"Base image provenance and whether it is minimal and hardened, pinned to a digest rather than a floating tag, no secrets baked in, built multi stage so build tooling does not ship, running as non root, scanned at build and in the registry, signed so you can verify at deploy, and immutable tags."
What tools exist for working with OSCAL?,"oscal-cli from NIST for schema validation and format conversion. compliance-trestle, an IBM Python SDK for authoring and managing OSCAL. The FedRAMP Automation repository with baselines and validation rules. Lula, which validates OSCAL assertions against live infrastructure. Plus commercial platforms like RegScale, Paramify, Xacta, and Ignyte."
What types of controls are involved in the Detect function?,"Anomalies and events detection, continuous monitoring, and detection processes."
"What was the Joint Authorization Board (JAB), and does it still exist?","A board of agencies that issued provisional ATOs for cloud services. It was eliminated by OMB Memorandum M-24-15 in July 2024. FedRAMP is removing JAB references from its guidance. Authorization now runs through agency sponsorship or, under 20x, program certification."
When do you use an Automation Account runbook instead?,"Operating system level work, long running jobs, or reaching on-prem and isolated networks through a hybrid runbook worker, which a cloud hosted function cannot do."
When does a FedRAMP SSP need updating?,"Annual review as the floor. Then any boundary change including a new outbound connection, any interconnection change, component and inventory changes, ports protocols and services changes, control implementation changes, personnel changes for named roles, and POA&M closures that changed an implementation. Significant changes need an approved SCR before implementation, not just a document edit."
When does continuous monitoring begin?,"The moment the ATO is issued, not when the POA&M is cleared. As POA&M items close, the new implementations get folded into monitoring."
When does FedRAMP stop accepting new Rev 5 certifications?,"June 11, 2027, in the Phase 5 window. FedRAMP labels future phase dates as estimates for public awareness, not firm commitments."
When does the remediation clock start?,"At first detection, not when the finding was logged or triaged. Slow intake burns the window rather than resetting it."
Where does a CNAPP like Wiz genuinely help with FedRAMP?,"FedRAMP has historically meant a credentialed scan where the scanner logs in and enumerates packages, patch level, and configuration. Agentless snapshot reading is a different mechanism, so the 3PAO has to understand it, observe or reproduce it, and attest results reflect reality. Coverage is also uneven: strong on host and container image, but it is not a web application scanner and does not do authenticated database configuration scanning."
Which companies are primarily affected by SOX?,Publicly traded companies and wholly-owned subsidiaries in the U.S.
